pathogen,platform,mu_hat,se_mu,lo95,hi95
chikungunya,mrna_only,1,0,1,1
chikungunya,traditional_only,1,0,1,1
coronavirus,mrna_only,1,0,1,1
coronavirus,traditional_only,1,0,1,1
crimean_congo_hemorrhagic_fever,mrna_only,1,0,1,1
crimean_congo_hemorrhagic_fever,traditional_only,1,0,1,1
ebola,mrna_only,1,0,1,1
ebola,traditional_only,1,0,1,1
flu,mrna_only,1,0,1,1
flu,traditional_only,1,0,1,1
lassa,mrna_only,1,0,1,1
lassa,traditional_only,1,0,1,1
nipah,mrna_only,1,0,1,1
nipah,traditional_only,1,0,1,1
rift_valley_fever,mrna_only,1,0,1,1
rift_valley_fever,traditional_only,1,0,1,1
zika,mrna_only,1,0,1,1
zika,traditional_only,1,0,1,1
