location,year_start,year_end,duration,death_thousand,pop_thousand,severity_perthousand,severity,disease,type,transmission,is_vira_only,is_vira_mixed,contains_vira,is_pandemic,unidentified,airborne,contagious,recurrent_1900,recurrent_1950,intensity
"china, kwangsi",1500,1500,1,,463230.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
"china, shansi",1504,1504,1,,463230.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
"china, hunan, hupeh, kwangtun, kwangsi, yunnan, fukien",1506,1506,1,,463230.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
hispaniola,1507,1541,35,300.0,463230.0,0.6476264490641799,6.476264490641799,smallpox,viral,droplet,1,0,1,0,False,True,True,True,True,0.1850361283040514
"pandemic, influenza",1510,1510,1,,463230.0,,,influenza,viral,droplet,1,0,1,0,False,True,True,False,False,
"china, chekiang",1511,1511,1,,463230.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
"china, yunnan",1514,1514,1,,463230.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
"china, hupeh",1516,1516,1,,463230.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
"china, fukien",1517,1517,1,,463230.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
"china, hopei, shantung, chekiang",1519,1519,1,,463230.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
mexico,1519,1520,2,6500.0,463230.0,14.03190639639056,140.3190639639056,smallpox,viral,droplet,1,0,1,0,False,True,True,True,True,70.1595319819528
ireland,1519,1525,7,,463230.0,,,plague,bacterial,airborne/bite,0,0,0,0,False,True,True,True,True,
european diseases in the americas,1520,1635,116,10300.0,474800.0,21.69334456613311,216.9334456613311,smallpox,viral,droplet,1,0,1,1,False,True,True,True,True,1.870115910873544
"china, shensi",1522,1522,1,,476580.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
"china, shantung",1525,1525,1,4.1,479250.0,0.0085550339071465,0.0855503390714658,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,0.0855503390714658
french army in italy,1528,1528,1,21.0,481920.0,0.0435756972111553,0.4357569721115538,typhus,bacterial,feces,0,0,0,0,False,False,True,True,True,0.4357569721115538
"china, shansi, hupeh, szechwan, kweichow",1528,1529,2,,481920.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
"england, germany, northern europe",1529,1529,1,,482810.0,,,sweating sickness,unknown,unknown,0,0,0,0,True,False,True,False,False,
edimburgh,1530,1530,1,,483700.0,,,plague,bacterial,airborne/bite,0,0,0,0,False,True,True,True,True,
"china, shensi, hupeh, chekiang, hunan, fukien ",1532,1535,4,,485480.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
ireland,1535,1536,2,,488150.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
"china, kwangsi",1538,1538,1,,490820.0,,,unknown,unknown,unknown,0,0,0,0,True,False,True,False,False,
